Kabupaten_Kota,Tahun,IPM,TPT,Jumlah_Penduduk,PDRB,TPAK
Kabupaten Bandung,2018,71.75,5.07,3717291,7761322,61.79
Kabupaten Bandung Barat,2018,67.46,8.55,1683711,2988889,61.26
Kabupaten Bekasi,2018,73.49,9.74,3630907,24194938,61.43
Kabupaten Bogor,2018,69.69,9.83,5840907,14820335,62.75
Kabupaten Ciamis,2018,69.63,4.64,1188629,2087869,66.67
Kabupaten Cianjur,2018,64.62,10.23,2260620,3032021,60.22
Kabupaten Cirebon,2018,68.05,10.64,2176213,3216184,61.75
Kabupaten Garut,2018,65.42,7.12,2606399,3722515,60.06
Kabupaten Indramayu,2018,66.36,8.46,1719187,5828798,64.88
Kabupaten Karawang,2018,69.89,9.12,2336009,15731784,64.77
Kabupaten Kuningan,2018,68.55,9.1,1074497,1582196,58.53
Kabupaten Majalengka,2018,66.72,5.0,1199300,2000688,65.64
Kabupaten Pangandaran,2018,67.44,3.59,397187,730873,77.74
Kabupaten Purwakarta,2018,69.98,9.94,953414,4434165,63.12
Kabupaten Subang,2018,68.31,8.71,1579018,274082,64.35
Kabupaten Sukabumi,2018,66.05,7.84,2460693,4414089,62.71
Kabupaten Sumedang,2018,70.99,7.54,1149906,2250796,61.93
Kabupaten Tasikmalaya,2018,65.0,6.92,1751295,2332061,64.07
Kota Bandung,2018,81.06,8.05,2503708,18508418,61.86
Kota Banjar,2018,71.25,5.95,182819,306711,64.93
Kota Bekasi,2018,81.04,9.14,2931897,6584509,65.23
Kota Bogor,2018,75.66,9.74,1096828,3041357,63.11
Kota Cimahi,2018,77.56,8.0,607811,211926,64.4
Kota Cirebon,2018,74.35,9.07,316277,1581718,67.89
Kota Depok,2018,80.29,6.66,2330333,4597889,62.51
Kota Sukabumi,2018,73.55,8.57,326282,820992,59.62
Kota Tasikmalaya,2018,72.03,6.89,662723,1485911,62.63
Kabupaten Bandung,2019,72.41,5.51,3775279,8254744,65.32
Kabupaten Bandung Barat,2019,68.27,8.24,1699896,3139835,61.97
Kabupaten Bekasi,2019,73.99,9.0,3763886,25150279,64.02
Kabupaten Bogor,2019,70.65,9.11,5965410,15687601,65.41
Kabupaten Ciamis,2019,70.39,5.16,1195176,2200124,67.39
Kabupaten Cianjur,2019,65.38,9.81,2263072,3203932,66.0
Kabupaten Cirebon,2019,68.69,10.35,2192903,336681,65.23
Kabupaten Garut,2019,66.22,7.35,2622425,3909249,62.6
Kabupaten Indramayu,2019,66.97,8.35,1728469,6015318,67.69
Kabupaten Karawang,2019,70.86,9.68,2353915,16394685,63.57
Kabupaten Kuningan,2019,69.12,9.68,1080804,1686415,61.2
Kabupaten Majalengka,2019,67.52,4.37,1205034,2156172,67.83
Kabupaten Pangandaran,2019,68.21,4.52,399284,774287,75.08
Kabupaten Purwakarta,2019,70.67,9.73,962893,4627821,63.88
Kabupaten Subang,2019,68.69,8.68,1595825,286729,67.67
Kabupaten Sukabumi,2019,66.87,8.05,2466272,4662834,62.65
Kabupaten Sumedang,2019,71.46,7.7,1152400,2393273,63.9
Kabupaten Tasikmalaya,2019,65.64,6.31,1754128,2458667,66.46
Kota Bandung,2019,81.62,8.18,2507888,19764289,65.9
Kota Banjar,2019,71.75,6.16,183110,322145,67.59
Kota Bekasi,2019,81.59,8.3,3003923,6940653,65.66
Kota Bogor,2019,76.23,9.16,1112081,3229573,63.68
Kota Cimahi,2019,78.11,8.09,614304,2285604,63.26
Kota Cirebon,2019,74.92,9.04,319312,1681249,62.71
Kota Depok,2019,80.85,6.12,2406826,4907658,64.96
Kota Sukabumi,2019,74.31,8.49,328680,866402,62.48
Kota Tasikmalaya,2019,72.84,6.78,663517,1574612,65.26
Kabupaten Bandung,2020,72.69,8.58,3831505,8106097,62.2
Kabupaten Bandung Barat,2020,68.81,12.25,1714982,3064041,59.91
Kabupaten Bekasi,2020,74.47,11.54,3899017,24297139,64.23
Kabupaten Bogor,2020,71.63,14.29,6088233,1541136,62.65
Kabupaten Ciamis,2020,71.57,5.66,1201685,2197041,71.41
Kabupaten Cianjur,2020,66.96,11.05,2264328,3179232,69.26
Kabupaten Cirebon,2020,69.61,11.52,2209633,3330405,63.79
Kabupaten Garut,2020,67.2,8.96,2636637,3859843,61.11
Kabupaten Indramayu,2020,68.25,9.21,1737624,59200,69.53
Kabupaten Karawang,2020,71.56,11.52,2370488,15771059,64.9
Kabupaten Kuningan,2020,69.66,11.22,1087105,1688276,61.98
Kabupaten Majalengka,2020,69.2,5.84,1210709,2175454,69.66
Kabupaten Pangandaran,2020,69.24,5.08,401493,773897,76.79
Kabupaten Purwakarta,2020,72.15,11.07,971889,4529324,60.91
Kabupaten Subang,2020,69.66,9.48,1612576,2834432,66.7
Kabupaten Sukabumi,2020,68.14,9.6,2470219,4620528,61.56
Kabupaten Sumedang,2020,72.48,9.89,1154428,2366501,68.96
Kabupaten Tasikmalaya,2020,67.22,7.12,1755710,2434486,69.54
Kota Bandung,2020,81.78,11.19,2510103,19314495,64.71
Kota Banjar,2020,73.08,6.73,183299,325176,67.35
Kota Bekasi,2020,81.5,10.68,3075690,6761924,64.74
Kota Bogor,2020,76.63,12.68,1126927,3216274,60.81
Kota Cimahi,2020,78.09,13.3,620393,2234056,62.67
Kota Cirebon,2020,75.91,10.97,322322,1664821,63.76
Kota Depok,2020,81.14,9.87,2484186,4813593,63.96
Kota Sukabumi,2020,75.06,12.17,330691,853472,55.74
Kota Tasikmalaya,2020,74.04,7.99,663986,1543002,66.54
Kabupaten Bandung,2021,73.03,8.32,3652400,8394937,65.12
Kabupaten Bandung Barat,2021,69.03,11.65,1808420,3170179,60.75
Kabupaten Bekasi,2021,74.84,10.09,3148740,25177852,65.87
Kabupaten Bogor,2021,71.83,12.22,5484150,15958955,62.55
Kabupaten Ciamis,2021,72.0,5.06,1234830,2277493,69.83
Kabupaten Cianjur,2021,67.16,9.32,2500640,3289753,67.98
Kabupaten Cirebon,2021,69.99,10.38,2301330,3412752,64.49
Kabupaten Garut,2021,67.53,8.68,2613530,3998119,62.76
Kabupaten Indramayu,2021,68.6,8.3,1851730,5954487,69.86
Kabupaten Karawang,2021,71.84,11.83,2465570,16694149,64.19
Kabupaten Kuningan,2021,69.99,11.68,1175950,1748356,63.82
Kabupaten Majalengka,2021,69.42,5.71,1315010,2278875,67.63
Kabupaten Pangandaran,2021,69.46,3.25,425590,802278,74.75
Kabupaten Purwakarta,2021,72.31,10.7,1008930,4684015,61.13
Kabupaten Subang,2021,69.84,9.77,1620700,2896089,67.78
Kabupaten Sukabumi,2021,68.33,9.51,2747450,4793563,64.93
Kabupaten Sumedang,2021,72.64,9.18,1159260,2441466,68.51
Kabupaten Tasikmalaya,2021,67.43,6.16,1876890,2517948,68.18
Kota Bandung,2021,82.23,11.46,2461410,20041403,65.31
Kota Banjar,2021,73.3,6.09,202720,336525,64.07
Kota Bekasi,2021,81.99,10.88,2568020,6979694,64.76
Kota Bogor,2021,77.11,11.79,1050920,3337248,61.77
Kota Cimahi,2021,78.31,13.07,574450,2327578,61.79
Kota Cirebon,2021,76.26,10.53,335810,1715575,62.87
Kota Depok,2021,81.54,9.76,2081130,4994724,62.62
Kota Sukabumi,2021,75.44,10.78,350150,885105,56.86
Kota Tasikmalaya,2021,74.31,7.66,723100,1598075,65.75
Kabupaten Bandung,2022,73.46,6.98,3687250,8843796,63.64
Kabupaten Bandung Barat,2022,69.82,9.63,1834230,3339329,64.37
Kabupaten Bekasi,2022,75.6,10.31,3193840,26512049,65.41
Kabupaten Bogor,2022,72.45,10.64,5556310,16796618,63.75
Kabupaten Ciamis,2022,72.52,3.75,1243320,2391889,68.47
Kabupaten Cianjur,2022,67.55,8.41,2529810,345564,69.98
